s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
106.0805767,89634.7261838,43143.2209868,-2.6570808,0.0204493,11.9904002,-8.4824875
107.0757011,89635.1986502,43142.3451740,-2.6306715,0.0325947,11.2614792,-6.5823720
108.0700313,89635.6988614,43141.4858246,-2.5883600,0.0521690,10.6615540,-5.2917895
109.0702390,89636.2463063,43140.6487348,-2.5278371,0.0692376,10.1535833,-4.8693173
110.0690190,89636.8494723,43139.8526491,-2.4525780,0.0812962,9.6626039,-4.5466682
111.0682057,89637.5155198,43139.1078305,-2.3650960,0.0934698,9.1804823,-4.0350966
112.0707793,89638.2507395,43138.4262105,-2.2624052,0.1091965,8.7303359,-3.9667956
113.0954935,89639.0745864,43137.8168539,-2.1464492,0.1181051,8.2639425,-4.1610638
114.1310409,89639.9757627,43137.3067171,-2.0235882,0.1272917,7.7445826,-4.0057358
115.1094498,89640.8818745,43136.9376026,-1.8770867,0.1625103,7.2093505,-1.2406707
116.0996434,89641.8467312,43136.7150381,-1.6888800,0.2187202,7.0353224,-0.2298585
117.0909414,89642.8379836,43136.7055384,-1.4651878,0.2386006,7.0026054,-0.2298585
118.0543690,89643.7773100,43136.9196851,-1.2437005,0.2086224,6.9697349,1.8594693
119.0395549,89644.6737271,43137.3283752,-1.0449856,0.1941037,7.2313618,1.6835554
120.0482078,89645.4937262,43137.9157270,-0.8505719,0.1968119,7.4603278,0.6420706
121.0490968,89646.1768132,43138.6472808,-0.6608982,0.1800986,7.5458205,1.5318376
122.0499932,89646.7174735,43139.4895871,-0.4920092,0.1591939,7.7459769,2.2546061
123.0369177,89647.1129121,43140.3938262,-0.3349838,0.1596208,8.0315046,1.3938486
124.0041549,89647.3579557,43141.3295086,-0.1730942,0.1627360,8.2030545,0.5334280
125.0235447,89647.4539525,43142.3443682,-0.0263786,0.1396929,8.2677652,2.1480798
125.9953879,89647.4103484,43143.3152327,0.1020522,0.1149044,8.5233797,3.4222173
126.9899278,89647.2539468,43144.2973978,0.2134819,0.1073559,8.9154867,3.1705143
128.0245710,89646.9810753,43145.2954096,0.3221609,0.1096055,9.2639560,2.0476421
129.0325603,89646.6082283,43146.2319071,0.4268474,0.0959232,9.4822074,2.9692101
130.0320363,89646.1509419,43147.1206374,0.5115117,0.0723841,9.7900464,4.6359598
131.0348168,89645.6287753,43147.9767394,0.5737567,0.0517701,10.2522232,4.8073059
132.0416165,89645.0605289,43148.8078481,0.6173301,0.0350246,10.7104396,4.7622804
133.0473396,89644.4639870,43149.6175498,0.6449931,0.0201778,11.1458058,4.7176766
134.0415583,89643.8582392,43150.4059281,0.6570765,0.0039730,11.5609401,4.6734906
135.0164161,89643.2612682,43151.1766248,0.6590514,-0.0000001,11.9579846,4.6297185
136.0026848,89642.6573096,43151.9563427,0.6590514,0.0000001,12.3387194,4.5863563
136.9794370,89642.0591786,43152.7285370,0.6590515,0.0000001,12.7046430,4.5434002
137.9541099,89641.4623208,43153.4990875,0.6590515,-0.0000001,13.0570319,4.5008465
138.9381552,89640.8597237,43154.2770476,0.6590514,-0.0000000,13.3969842,4.4586913
139.9163408,89640.2607149,43155.0503752,0.6590515,0.0000001,13.7254529,4.4169310
140.8929693,89639.6626596,43155.8224717,0.6590515,-0.0000001,14.0432720,4.3755618
141.8746740,89639.0614958,43156.5985814,0.6590515,0.0000000,14.3511763,4.3345800
142.8534830,89638.4621052,43157.3724018,0.6590514,-0.0000001,14.6498173,4.2939821
143.8314861,89637.8632082,43158.1455851,0.6590514,0.0000000,14.9397763,4.2537645
144.8107627,89637.2635313,43158.9197752,0.6590515,0.0000001,15.2215743,4.2139235
145.7907446,89636.6634225,43159.6945228,0.6590515,-0.0000000,15.4956810,4.1744556
146.7695579,89636.0640293,43160.4683466,0.6590515,0.0000000,15.7625211,4.1353575
147.7465032,89635.4657800,43161.2406936,0.6590514,-0.0000000,16.0224809,4.0966255
148.7279031,89634.8648029,43162.0165623,0.6590514,0.0000000,16.2759124,-8.5212624
149.7078032,89634.2647442,43162.7912453,0.6590514,-0.0000000,15.7441756,-10.2702390
150.6836327,89633.6671782,43163.5627102,0.6590514,-0.0000000,15.0784015,-10.2042769
151.6662413,89633.0654609,43164.3395345,0.6590515,0.0000001,14.3864212,-10.1872006
152.6452569,89632.4659438,43165.1135182,0.6590515,-0.0000000,13.6606792,-11.1626235
153.6159455,89631.8715259,43165.8809188,0.6590515,-0.0000000,12.8183547,-10.5659739
154.5989505,89631.2695658,43166.6580565,0.6590514,-0.0000001,11.9665549,-8.9325605
155.5909144,89630.6621197,43167.4422768,0.6590515,0.0000001,11.1959977,-6.3655288
156.5762020,89630.0587618,43168.2212190,0.6590515,-0.0000001,10.6127969,-3.6655452
157.5593745,89629.4566992,43168.9984891,0.6590514,0.0000000,10.2619376,-0.4890478
158.5331397,89628.8603973,43169.7683220,0.6590515,0.0000000,10.2142156,-0.4890478
159.5356487,89628.2464936,43170.5608790,0.6590514,-0.0000001,10.1662697,0.1190962
160.5151809,89627.6466602,43171.3352712,0.6600563,0.0020805,10.1779666,0.3281012
161.4812620,89627.0535193,43172.0978304,0.6690831,0.0165762,10.2101215,0.2626496
162.4474383,89626.4481830,43172.8508673,0.7269624,0.1042015,10.2357891,3.8551655
163.4042666,89625.7770893,43173.5328890,0.8354885,0.1217095,10.6053925,-4.2237180
164.3595502,89625.0325164,43174.1313688,0.9304353,0.0752795,10.1997538,-7.3671222
165.3339999,89624.2306953,43174.6851151,0.9815652,0.0302916,9.4506505,-4.4650440
166.3352600,89623.3901580,43175.2291913,0.9891903,-0.0140615,8.9662271,-2.9934367
167.3499670,89622.5462329,43175.7925923,0.9513286,-0.0609236,8.6262430,-2.6039244
168.3616330,89621.7410962,43176.4051468,0.8658595,-0.1116270,8.3192061,-4.1979874
169.3385881,89621.0339281,43177.0792051,0.7318027,-0.1611694,7.7987966,-1.7239539
