# traj_defense_25kmh.csv (2026-08-10生成、v2)
# ゆるいコーナー17区間へイン側バイアス(基準1.02m x 採用振幅0.40=0.408m)、
# Laplacian平滑化(alpha=0.15, passes=6)で不連続を除去。
# タイトコーナー2箇所(wp224-230, wp247-257)のcore+-1ptは完全に原形保持(変位0)。
# kaleidoscope.trajectory_clearance(実occupancy_grid_map.yaml+実車体寸法+
# margin[L/R]0.5m,[F/R]0.2m)でclearance検証済み(min_clearance=0.60m)。
# 経緯はdesign_docs opp_lat_pred_overlap_guard_design_20260806.md §47系参照(記録予定)。
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
109.4469132,89637.1882424,43140.1350909,-2.4367162,0.0669862,9.6626039,-4.5466682
110.4092166,89637.8352249,43139.4227415,-2.3576681,0.0968297,9.1804823,-4.0350966
111.3709049,89638.5452295,43138.7740985,-2.2567664,0.1123423,8.7303359,-3.9667956
112.3370300,89639.3247883,43138.2034096,-2.1435225,0.1236012,8.2639425,-4.1610638
113.2943648,89640.1588989,43137.7335698,-2.0171649,0.1440737,7.7445826,-4.0057358
114.2184155,89641.0179373,43137.3930954,-1.8656060,0.1833844,7.2093505,-1.2406707
115.1175872,89641.8973588,43137.2056721,-1.6797372,0.2290986,7.0353224,-0.2298585
115.9981421,89642.7778991,43137.2006015,-1.4662010,0.2525800,7.0026054,-0.2298585
116.8701816,89643.6296688,43137.3875272,-1.2484817,0.2391143,6.9697349,1.8594693
117.7574857,89644.4373910,43137.7548057,-1.0447461,0.2191247,7.2313618,1.6835554
118.6622145,89645.1719286,43138.2829994,-0.8517870,0.2094924,7.4603278,0.6420706
119.5734147,89645.7976087,43138.9454270,-0.6675970,0.1949765,7.5458205,1.5318376
120.4880084,89646.2977935,43139.7111272,-0.4967447,0.1795696,7.7459769,2.2546061
121.3992111,89646.6647939,43140.5451542,-0.3345800,0.1753629,8.0315046,1.3938486
122.3101263,89646.8942148,43141.4267054,-0.1772120,0.1667314,8.2030545,0.5334280
123.2374861,89646.9879032,43142.3493205,-0.0324327,0.1477553,8.2677652,2.1480798
124.1675754,89646.9543044,43143.2788028,0.0972078,0.1289139,8.5233797,3.4222173
125.1145282,89646.8060609,43144.2140800,0.2128034,0.1150256,8.9154867,3.1705143
126.0809252,89646.5508153,43145.1461599,0.3187996,0.1065454,9.2639560,2.0476421
127.0473591,89646.2010632,43146.0470860,0.4086798,0.0791123,9.4822074,2.9692101
128.0172566,89645.7818853,43146.9217237,0.4486918,0.0035953,9.7900464,4.6359598
129.0042493,89645.3521907,43147.8102715,0.4263853,-0.0475690,10.2522232,4.8073059
130.0153106,89644.9557584,43148.7403717,0.4712166,0.1364990,10.7104396,4.7622804
131.0153979,89644.4413409,43149.5980133,0.5849958,0.0897451,11.1458058,4.7176766
132.0116648,89643.8544861,43150.4030905,0.6414315,0.0231590,11.5609401,4.6734906
133.0085880,89643.2488089,43151.1949307,0.6526002,-0.0007358,11.9579846,4.6297185
134.0083816,89642.6419713,43151.9894969,0.6490263,-0.0064295,12.3387194,4.5863563
135.0060186,89642.0415461,43152.7862210,0.6419456,-0.0077577,12.7046430,4.5434002
136.0028744,89641.4477680,43153.5869387,0.6340144,-0.0081299,13.0570319,4.5008465
137.0020249,89640.8591542,43154.3943020,0.6258549,-0.0082299,13.3969842,4.4586913
138.0001752,89640.2777783,43155.2056627,0.6176106,-0.0082862,13.7254529,4.4169310
138.9976930,89639.7034950,43156.0212854,0.6092975,-0.0083661,14.0432720,4.3755618
139.9963982,89639.1353668,43156.8426516,0.6008557,-0.0085534,14.3511763,4.3345800
140.9946217,89638.5745446,43157.6684413,0.5921882,-0.0088126,14.6498173,4.2939821
141.9923537,89638.0212792,43158.4987223,0.5832475,-0.0091013,14.9397763,4.2537645
142.9904976,89637.4753524,43159.3343389,0.5740012,-0.0094272,15.2215743,4.2139235
143.9888833,89636.9371830,43160.1752597,0.5644244,-0.0097652,15.4956810,4.1744556
144.9867049,89636.4075348,43161.0209078,0.5545147,-0.0100942,15.7625211,4.1353575
145.9843054,89635.8865453,43161.8716584,0.5442911,-0.0103877,16.0224809,4.0966255
146.9830822,89635.3738011,43162.7287748,0.5337461,-0.0107448,16.2759124,-8.5212624
147.9814235,89634.8705021,43163.5909671,0.5227150,-0.0113584,15.7441756,-10.2702390
148.9789674,89634.3774025,43164.4581156,0.5110971,-0.0119113,15.0784015,-10.2042769
149.9776940,89633.8940748,43165.3321003,0.4997346,-0.0108742,14.3864212,-10.1872006
150.9747991,89633.4210288,43166.2098508,0.4923316,-0.0039630,13.6606792,-11.1626235
151.9703891,89632.9521658,43167.0881258,0.5004659,0.0202196,12.8183547,-10.5659739
152.9703926,89632.4635232,43167.9606139,0.5533490,0.0852837,11.9665549,-8.9325605
153.9742117,89631.9000395,43168.7913599,0.6639464,0.1343750,11.1959977,-6.3655288
154.9846711,89631.2251099,43169.5433561,0.7097277,-0.0441811,10.6127969,-3.6655452
155.9675517,89630.6014397,43170.3030202,0.6935288,0.0127103,10.2619376,-0.4890478
156.9312689,89629.9807617,43171.0402514,0.7421776,0.0882709,10.2142156,-0.4890478
157.8917147,89629.3020816,43171.7198464,0.8362732,0.1084486,10.1662697,0.1190962
158.8419482,89628.5646541,43172.3191330,0.9326515,0.0935303,10.1779666,0.3281012
159.7883973,89627.7801607,43172.8486006,0.9876392,0.0217291,10.2101215,0.2626496
160.7580706,89626.9652992,43173.3742116,0.9715959,-0.0525490,10.2357891,3.8551655
161.7599246,89626.1526454,43173.9601344,0.9769409,0.0615383,10.6053925,-4.2237180
162.7615952,89625.3055880,43174.4947723,0.9842587,-0.0467471,10.1997538,-7.3671222
163.7674824,89624.4810871,43175.0709730,0.9917569,0.0629041,9.4506505,-4.4650440
164.7501849,89623.6419750,43175.5824366,1.0134713,-0.0204322,8.9662271,-2.9934367
165.7219751,89622.8224446,43176.1046878,0.9547694,-0.1008973,8.6262430,-2.6039244
166.6861860,89622.0637338,43176.6997176,0.8452207,-0.1288124,8.3192061,-4.1979874
167.6250192,89621.4014194,43177.3651104,0.7123077,-0.1549321,7.7987966,-1.7239539
168.5378421,89620.8566404,43178.0975457,0.5544235,-0.1887509,7.5747350,-0.2664572
169.4383893,89620.4502661,43178.9011905,0.3767751,-0.2047235,7.5395096,-0.2664572
170.3299948,89620.2000446,43179.7569648,0.1979564,-0.1930624,7.5041188,2.8244510
